id	nest	treat	mass6	tars6	mass14	tars14	wing14	laydate	year
1EP51828	279	H	4.6	8.4	11.5	18	39	26	2008
1EP52127	46	H	8.2	12.9	13.2	19.5	48	29	2008
1EP52128	46	H	7.6	12.2	12.3	18.4	47	29	2008
1EP52129	46	H	5.2	10.1	11.6	18.6	43.5	29	2008
1EP52130	46	H	6.3	10.7	12.3	18.3	44.5	29	2008
1EP52131	46	H	6.8	11.9	11.8	19	47.5	29	2008
1EP52133	46	H	4.3	9	11.1	18	39.5	29	2008
1EP52134	46	H	7.3	12.7	11.8	19.4	46	29	2008
1EP52135	46	H	7.8	12.8	12.7	18.9	48	29	2008
1EP52136	46	H	7.6	13.3	11.9	19.7	48	29	2008
1EP52137	46	H	7.6	13.3	12.3	19.6	47	29	2008
1EP52145	826	H	8	13.6	12.2	19.8	48.5	27	2008
1EP52146	826	H	7.5	13.2	13.3	19.2	49	27	2008
1EP52147	826	H	5.8	11.1	12.1	18.6	43.5	27	2008
1EP52148	826	H	7.2	13	12.8	18.6	48	27	2008
1EP52149	826	H	6.8	13.2	11.3	19.2	48	27	2008
1EP52150	826	H	6.7	12.1	12.6	18.9	46	27	2008
1EP52151	826	H	7.5	13.3	12.3	19	48	27	2008
1EP52152	826	H	7.7	13.7	13.2	19.7	49.5	27	2008
NA	826	H	1.6	NA	NA	NA	NA	27	2008
NA	826	H	2.9	NA	NA	NA	NA	27	2008
1EP52163	574	H	6.1	10.2	12.7	19.2	43	29	2008
1EP52164	574	H	6.2	10	12.2	18.1	41.5	29	2008
1EP52165	574	H	6.4	10.5	11.8	18.7	43.5	29	2008
1EP52166	574	H	6.6	10.9	11.1	18.6	44	29	2008
1EP52167	574	H	6.2	10.3	11.6	18	42.5	29	2008
1EP52168	574	H	5.8	10.4	12	18.5	42.5	29	2008
1EP52169	574	H	5.7	9.9	11.3	17.5	43	29	2008
1EP52170	574	H	7.1	10.5	13	18.7	44.5	29	2008
1EP52171	574	H	4.3	7.1	12.1	18	38	29	2008
1EP51726	28	L	5.6	10.3	12.7	18.2	41	19	2008
1EP51727	28	L	5.3	10.4	11.8	18.1	40	19	2008
1EP51728	28	L	5.6	10.2	13.2	18.5	43.5	19	2008
1EP52196	28	L	3.6	8.2	12.4	17.6	34	19	2008
1EP51742	372	L	5.8	11	NA	NA	NA	20	2008
1EP51743	372	L	6.1	11.7	NA	NA	NA	20	2008
1EP51744	372	L	5.1	10.4	NA	NA	NA	20	2008
1EP51745	372	L	5.3	10	NA	NA	NA	20	2008
1EP51746	372	L	6	10.4	NA	NA	NA	20	2008
1EP51747	372	L	5.9	10.7	NA	NA	NA	20	2008
1EP51748	372	L	4.4	8.8	NA	NA	NA	20	2008
1EP51749	372	L	5.1	9.5	NA	NA	NA	20	2008
1EP51750	372	L	5.1	10	NA	NA	NA	20	2008
1EP51796	693	L	5.7	10.5	10.2	16.6	39.5	20	2008
1EP51797	693	L	5.6	10.2	10.3	17.3	40	20	2008
1EP52331	211	L	5.3	9.6	11.5	18	43.5	20	2008
1EP52332	211	L	5.4	NA	12.2	18	42.5	20	2008
1EP52333	211	L	5.3	10.2	11.9	18	43.5	20	2008
1EP52334	211	L	4.7	9.4	10.8	17.4	41.5	20	2008
1EP52335	211	L	5.6	10	11.6	17.6	42	20	2008
1EP52369	773	L	5	10	11.7	17.3	43	20	2008
1EP52370	773	L	4.6	8.6	10.9	16.5	38	20	2008
1EP52371	773	L	5.3	9.2	12	17.2	42	20	2008
1EP52372	773	L	4.7	8.7	11.1	17.3	40.5	20	2008
1EP51818	773	L	4.2	7.3	11.4	15.7	38	20	2008
1EP52393	608	L	7.3	12.3	12.2	18.4	47	22	2008
1EP52394	608	L	7.2	11.8	12.3	18	47.5	22	2008
1EP52395	608	L	7.1	12.3	12.5	18.3	46	22	2008
1EP52396	608	L	5.6	11.3	11.1	18.4	44	22	2008
1EP52397	608	L	6.3	11.8	11.7	18.4	45.5	22	2008
1EP52398	608	L	7	11.9	11.8	18	46.5	22	2008
1EP52399	608	L	6.5	10.8	11.7	17.7	44	22	2008
1EP52400	608	L	7	11.9	12.2	18.8	47.5	22	2008
1EP52401	608	L	6.9	11.7	11.7	18.1	46.5	22	2008
1EP52402	608	L	6.6	12.2	11.3	17.7	45.5	22	2008
1EP51820	608	L	3.3	NA	12.3	17.6	36.5	22	2008
1EP52447	736	L	6.9	12.2	11.9	18.5	45	24	2008
1EP52448	736	L	6.6	10.8	12.4	18.3	45.5	24	2008
1EP52449	736	L	7.2	12.6	11.8	18.9	47.5	24	2008
1EP52450	736	L	6.3	11.2	11.8	18.8	42	24	2008
1EP52451	736	L	6.9	11.8	11.8	18.3	44	24	2008
1EP52452	736	L	7.3	12.1	12.1	18.7	47	24	2008
1EP52453	736	L	7.3	11.3	11.2	17.4	44	24	2008
1EP52454	736	L	7.6	11.4	12.5	18.4	46	24	2008
1EP52455	845	L	4.5	9	9.7	16.9	39	25	2008
1EP52456	845	L	6.2	10.7	10.2	17.5	43.5	25	2008
1EP52457	845	L	6.5	NA	9.3	17.1	44	25	2008
1EP52458	845	L	NA	NA	11.3	18.1	45	25	2008
1EP52476	727	L	7.1	11.2	12.8	19.1	44.5	25	2008
1EP52477	727	L	6.1	10.9	12.1	18.6	43.5	25	2008
1EP52478	727	L	6.7	10.8	12.6	18.8	44	25	2008
1EP52479	727	L	5.8	9.5	12.6	18.8	41.5	25	2008
1EP52480	727	L	6.2	10.7	12.2	17.8	43	25	2008
1EP52486	835	L	7.2	11.5	12.3	18	45	26	2008
1EP52487	835	L	7.6	12.1	12.1	17.5	46.5	26	2008
1EP52488	835	L	7.1	11.5	11.4	17.8	43.5	26	2008
1EP52489	835	L	7.9	12.7	13.3	18.7	47	26	2008
1EP52490	835	L	7.9	12.6	11.2	17.9	45.5	26	2008
1EP52491	835	L	7.2	12.5	11.6	17.3	46	26	2008
1EP52492	835	L	5.6	10.4	10.8	17.9	42	26	2008
1EP52493	835	L	7.2	12.3	11.4	17.6	46	26	2008
1EP52115	603	L	6.1	9.9	11.3	17.4	43.5	26	2008
1EP52116	603	L	7.1	10.8	11.8	17.8	45	26	2008
1EP52117	603	L	7.1	11.3	11.9	18.3	45.5	26	2008
1EP52118	603	L	5.2	NA	12.7	17.5	41	26	2008
CG53578	678	L	4.4	8.7	11.1	17.5	40.5	28	2008
CG53579	678	L	4.2	8.1	10.4	16.8	37	28	2008
CG53580	678	L	4.7	8.8	10.9	17.7	42.5	28	2008
1EP51832	678	L	2.7	NA	9.5	17	33.5	28	2008
1EP52153	158	L	6.7	11	12.3	18.4	45	23	2008
1EP52154	158	L	5.5	8.7	12.2	18	42.5	23	2008
1EP52155	158	L	4.6	8.8	11.1	17	38	23	2008
1EP52156	158	L	5.7	10.8	11.6	18.3	43	23	2008
1EP52157	158	L	6.2	11	11.9	17.7	43.5	23	2008
1EP52158	158	L	5	9.7	11.6	18.7	39.5	23	2008
1EP52159	158	L	6	9.4	11.7	17.5	43	23	2008
1EP52160	158	L	6.1	10	11.8	17.4	44	23	2008
1EP52161	158	L	6.6	11.1	12.6	17.8	43	23	2008
1EP52172	606	L	6.1	10.7	11.2	17.8	45	28	2008
1EP52173	606	L	6.2	11	11.6	18.4	45.5	28	2008
1EP52174	606	L	4.3	8.1	11.2	17.4	40	28	2008
1EP51834	606	L	3.8	8.1	11.6	18.2	38	28	2008
1EP52177	606	L	7.1	11.6	12.1	18.7	48	28	2008
1EP52178	606	L	6.8	11.7	11.4	18.3	47	28	2008
1EP52179	606	L	6.7	11.2	11.6	18.2	46.5	28	2008
1EP52180	606	L	7.2	11.6	11.6	18.7	47	28	2008
1EP52198	159	L	5.7	10	11.9	17.5	44	28	2008
1EP52199	159	L	4.1	8.8	12.1	18.2	41	28	2008
1EP51800	159	L	6	11.1	12.6	18.6	45	28	2008
1EP51801	159	L	6.7	12.1	13.2	18.9	46	28	2008
1EP51845	159	L	3.8	8.2	10.2	17	38.5	28	2008
1EP51718	839	M	5.7	10.6	9.1	17.5	38	19	2008
1EP51719	839	M	5.9	11.1	9.8	17.8	38.5	19	2008
1EP51720	839	M	5.5	10.8	10.1	18.3	37	19	2008
1EP51721	839	M	5.1	10.1	10.3	18	38	19	2008
1EP51722	839	M	6.4	11.5	10.2	18.6	39	19	2008
1EP51723	839	M	5.3	10.5	9.8	17.6	38.5	19	2008
1EP51724	839	M	5.7	11.1	10.7	18.2	37	19	2008
1EP51725	839	M	4.8	9.9	8.6	16.8	34.5	19	2008
1EP52182	839	M	2.8	NA	6.3	15.7	27.5	19	2008
1EP52181	839	M	3.2	NA	7.4	16.4	32	19	2008
NA	839	M	2.2	NA	NA	NA	NA	19	2008
1EP51729	723	M	6.7	13	11.3	19.3	46	22	2008
1EP51730	723	M	6.7	12.6	11.4	19.9	44.5	22	2008
1EP51731	723	M	6.3	12.4	12.7	19.7	44	22	2008
1EP51732	723	M	5.1	10.1	12.6	19.6	42	22	2008
1EP51733	723	M	7.2	13.2	12	20	45.5	22	2008
1EP51734	723	M	7.2	13	12.4	19.9	45	22	2008
1EP51735	817	M	5.1	10.9	11.8	18.8	40.5	23	2008
1EP51736	817	M	5.2	10.9	12.4	18.6	42	23	2008
1EP51737	817	M	6.2	12.6	12	18.7	45.5	23	2008
1EP51738	817	M	6.1	12.3	11.6	18.3	43	23	2008
1EP51739	817	M	6.7	13	12.5	19.4	44	23	2008
1EP51740	817	M	5.8	11.6	12.3	18.8	44	23	2008
1EP51741	817	M	6.5	12.3	12.9	19.1	44	23	2008
1EP52305	642	M	7.4	12.3	11.6	19.2	47.5	21	2008
1EP52306	642	M	5.9	11	10.7	17.6	43.5	21	2008
1EP52307	642	M	6.6	11.8	10.7	17.8	46	21	2008
1EP52308	642	M	6.6	11.5	11.2	18.4	46	21	2008
1EP52309	642	M	7.6	12.1	12.2	19	48.5	21	2008
1EP52310	642	M	7.1	11.6	11.9	18.6	46.5	21	2008
1EP52311	642	M	4.8	8.8	10.9	17.7	40.5	21	2008
1EP52312	642	M	5.5	9.3	12	18.2	42	21	2008
1EP51802	642	M	3.6	8.1	11.2	18.1	38	21	2008
1EP52313	637	M	6.3	11.4	12.3	18.8	46	23	2008
1EP52314	637	M	5.7	10.4	11.1	17.6	39.5	23	2008
1EP52315	637	M	5.8	11	12.3	18.9	43	23	2008
1EP52316	637	M	4.4	8.8	12.3	18.7	40	23	2008
1EP52317	637	M	5.7	11.1	11.8	18.6	44.5	23	2008
1EP52318	637	M	6	10.4	12.4	18.1	43.5	23	2008
1EP52319	637	M	5.5	9.5	10.6	17.6	42.5	23	2008
1EP52320	637	M	5.3	9.7	11.3	18	41.5	23	2008
1EP52321	637	M	5.3	9.3	11.2	17.1	43	23	2008
1EP51817	637	M	4.2	7.7	11.8	17	38.5	23	2008
1EP52322	689	M	5.8	10.7	10	18	42.5	25	2008
1EP52323	689	M	6.2	11.1	9.7	18.3	43	25	2008
1EP52324	689	M	4.3	8.1	9.3	17.5	38	25	2008
1EP52325	689	M	5.1	9.5	9.6	17.9	40	25	2008
1EP52326	689	M	5.6	10.2	9.1	17.4	42	25	2008
1EP52327	689	M	5.6	9.7	9.5	17.5	40.5	25	2008
1EP52328	689	M	6.1	10.3	10.1	18.3	43	25	2008
1EP52329	689	M	5.8	10.3	11	18.6	44	25	2008
1EP52330	689	M	6.4	10.5	10.4	18.6	44	25	2008
1EP52345	763	M	6.2	11.4	11.5	18.1	44	23	2008
1EP52346	763	M	6.6	11.6	12.2	19.1	45	23	2008
1EP52347	763	M	5.2	9.9	12.6	18.3	42	23	2008
1EP52348	763	M	6.2	11.3	12.3	19	45	23	2008
1EP52349	763	M	6.7	11.8	12.2	18.9	46	23	2008
1EP52350	763	M	6.7	11.7	11.9	18.8	45	23	2008
1EP52351	763	M	4.6	8.9	12	18.8	45	23	2008
1EP52352	651	M	4.3	8.6	11.9	18.2	38.5	24	2008
1EP52353	651	M	5.7	10.1	12.3	18.2	43.5	24	2008
1EP52354	651	M	5.8	10.1	12.1	18.6	43.5	24	2008
1EP52355	651	M	5.8	10.7	11.6	17.8	43	24	2008
1EP52356	651	M	7	11.6	12.4	19.1	45	24	2008
1EP52357	651	M	6.8	11.7	11.6	18.2	43	24	2008
1EP52358	651	M	6.3	10.5	12	18.4	43	24	2008
1EP52359	651	M	6.2	10.6	11.3	17.6	44	24	2008
1EP52360	651	M	6.3	11.3	12.3	19	45.5	24	2008
1EP52361	801	M	5.6	9.7	NA	NA	NA	25	2008
1EP52362	801	M	5.8	10.2	NA	NA	NA	25	2008
1EP52363	801	M	5.5	9.6	NA	NA	NA	25	2008
1EP52364	801	M	5.1	9	NA	NA	NA	25	2008
1EP52365	801	M	5.3	9.3	NA	NA	NA	25	2008
1EP52366	6	M	5.9	10.4	NA	NA	NA	23	2008
1EP52367	6	M	5.9	10.6	NA	NA	NA	23	2008
1EP52368	6	M	4.5	8.9	NA	NA	NA	23	2008
1EP52381	692	M	7.4	12.1	11.9	18.7	44.5	26	2008
1EP52382	692	M	6.9	11.3	12.1	18.2	43	26	2008
1EP52383	692	M	4.4	7.7	12.2	18	38	26	2008
1EP52384	692	M	6.7	11	13	18.8	44	26	2008
1EP52819	692	M	2.6	NA	11.7	17.4	36	26	2008
1EP52468	V211	M	6.2	10.8	13	19.1	43	27	2008
1EP52469	V211	M	6.6	11.1	12.2	18.3	43	27	2008
1EP52470	V211	M	7.1	11.4	13.3	19.1	46	27	2008
1EP52471	V211	M	6.1	10.7	12.6	18.3	45	27	2008
1EP52472	V211	M	6.7	11.4	12.7	18.5	44	27	2008
1EP52473	V211	M	5.6	9.7	13.4	19.1	42	27	2008
1EP52474	V211	M	7	11.4	13.5	19.1	44.5	27	2008
1EP52475	V211	M	4.7	8.7	12.6	18.2	39.5	27	2008
1EP51826	V211	M	3.7	NA	12.8	18.4	44	27	2008
1EP52481	824	M	7.7	12.7	13.5	19.3	47	24	2008
1EP52482	824	M	7.7	12.7	12.5	19.4	46	24	2008
1EP52483	824	M	8.4	12.4	12.6	18.5	44	24	2008
1EP52484	824	M	7.3	12.3	12.9	19.3	45.5	24	2008
1EP52485	824	M	7.4	12	12.7	19.2	45	24	2008
1EP52494	627	M	6	10.5	11.2	18.6	44	24	2008
1EP52495	627	M	4.6	8.9	11.1	19.1	44	24	2008
1EP52496	627	M	6.2	11.7	11	19.6	44	24	2008
1EP52497	627	M	6.9	11.2	11.2	18.98	45	24	2008
1EP52498	627	M	7.7	12.5	11.8	19.7	47	24	2008
1EP52499	627	M	6.3	11.3	11.9	19.6	45.5	24	2008
1EP52100	627	M	6.3	10.6	11.8	18.3	44	24	2008
1EP52101	627	M	6.3	10.6	NA	NA	NA	24	2008
1EP52102	627	M	6.5	11	12.2	19.8	44	24	2008
1EP52103	627	M	5.7	10.2	12.2	19.4	44.5	24	2008
1EP52104	11	M	6.6	11.1	12.6	19.6	44.5	25	2008
1EP52105	11	M	6.8	11.7	12.6	19.5	44.5	25	2008
1EP52106	11	M	6.7	11.4	11.7	19.4	43.5	25	2008
1EP52107	11	M	6.5	11.4	12.1	19.5	44	25	2008
1EP52108	11	M	6.6	10.9	12.1	19.6	44	25	2008
1EP52109	11	M	6.3	10.7	12.6	19.2	44	25	2008
1EP52110	11	M	6.3	11.2	10.3	19.1	42.5	25	2008
1EP52111	11	M	7.1	12.2	12.7	19.7	45.5	25	2008
1EP52112	11	M	7.2	11.8	12	19.4	45.5	25	2008
1EP52113	11	M	5.7	10.5	11.4	19	41	25	2008
1EP52114	11	M	6.1	10.6	12.2	19.3	42.5	25	2008
1EP52138	675	M	7	10.5	NA	NA	NA	29	2008
1EP52139	675	M	5.9	10.4	NA	NA	NA	29	2008
1EP52140	675	M	7.1	11.5	NA	NA	NA	29	2008
1EP52141	675	M	7.3	12	NA	NA	NA	29	2008
1EP52142	675	M	6.4	11	NA	NA	NA	29	2008
1EP52143	675	M	5.7	10.5	NA	NA	NA	29	2008
1EP52144	675	M	5.2	9.6	NA	NA	NA	29	2008
NA	675	M	3.8	8.4	NA	NA	NA	29	2008
1EP52185	V32	M	5.9	11	NA	NA	NA	27	2008
1EP52186	V32	M	7.1	12.3	NA	NA	NA	27	2008
1EP52187	V32	M	7.4	12.5	NA	NA	NA	27	2008
1EP52188	V32	M	6.7	11.8	NA	NA	NA	27	2008
1EP52189	V32	M	6.8	12.2	NA	NA	NA	27	2008
1EP52190	V32	M	7.2	12.5	NA	NA	NA	27	2008
1EP52191	V32	M	8.1	13.2	NA	NA	NA	27	2008
1EP52192	V32	M	6.7	12.3	NA	NA	NA	27	2008
1EP52193	V32	M	4.2	8.9	NA	NA	NA	27	2008
1EP52194	V32	M	5.8	11.3	NA	NA	NA	27	2008
1EP52195	V32	M	7.7	12.8	NA	NA	NA	27	2008
